Time;Rain;GlobRad;TMPM;LF;Wind;TMPMX;TMPMN
35332;0.00;6.29;10.10;93.62;1.11;13.05;7.94
35333;0.00;9.72;9.74;94.80;1.56;14.24;5.18
35334;0.00;8.93;11.45;93.50;1.91;17.95;6.24
35335;5.77;3.40;12.32;94.97;3.21;15.72;9.53
35336;0.20;9.04;12.79;92.46;3.56;15.69;10.74
35337;4.18;1.94;13.17;95.25;5.16;15.91;11.64
35338;5.97;3.72;16.01;96.85;4.77;17.54;13.82
35339;21.69;1.97;10.90;103.48;2.16;13.68;9.57
35340;12.74;8.43;10.26;96.72;2.58;13.96;6.94
35341;0.40;11.04;9.99;91.91;3.00;15.19;5.16
35342;2.39;2.58;10.75;93.27;3.43;12.51;7.10
35343;1.79;6.98;8.98;95.02;2.13;13.47;5.72
35344;0.20;9.53;7.83;99.58;1.70;13.53;3.25
35345;0.40;9.68;7.80;97.23;1.25;14.90;2.36
35346;0.00;3.70;9.47;99.98;0.80;12.93;5.87
35347;1.39;5.47;10.89;99.32;1.30;14.95;5.54
35348;3.18;4.14;10.94;99.25;1.28;12.95;9.48
35349;0.00;7.62;9.46;95.91;1.73;14.11;5.05
35350;0.00;5.60;10.34;96.14;2.19;14.63;6.77
35351;0.20;9.11;11.94;90.68;2.00;18.77;7.57
35352;0.00;9.02;9.97;94.89;1.84;15.80;5.51
35353;0.20;7.72;10.97;93.38;1.48;18.45;5.16
35354;26.07;0.93;11.18;102.65;3.12;13.43;10.02
35355;0.00;4.57;10.36;95.94;2.12;12.29;8.85
35356;0.00;5.17;10.14;93.15;2.12;13.48;8.26
35357;0.00;3.61;10.20;91.16;3.49;13.73;8.23
35358;7.56;2.48;9.39;100.24;2.51;11.07;7.34
35359;7.96;1.19;11.50;100.70;3.93;14.37;9.81
35360;0.00;7.90;9.76;95.29;3.49;12.92;6.03
35361;0.00;8.00;7.69;99.73;2.04;11.67;4.70
35362;0.00;8.87;6.98;96.20;3.42;10.81;3.99
35363;0.00;7.59;6.91;85.83;3.20;11.86;2.62
35364;0.20;4.94;10.73;92.25;3.21;14.74;8.26
35365;6.17;3.01;8.71;97.92;3.88;11.45;5.22
35366;2.39;2.52;13.77;91.34;6.55;14.80;11.62
35367;3.78;2.20;11.57;83.88;8.10;13.82;9.43
35368;0.20;3.16;8.40;85.01;7.82;10.04;7.43
35369;0.00;2.03;8.77;87.76;5.33;10.03;7.96
35370;2.19;1.88;10.72;96.29;5.20;13.75;7.89
35371;0.80;0.73;11.91;95.51;7.15;13.31;8.99
35372;1.99;0.86;13.69;97.59;7.44;14.72;13.11
35373;0.20;4.96;13.09;90.33;6.24;15.04;11.82
35374;1.79;3.46;11.54;84.35;7.05;13.95;8.42
35375;1.39;2.03;9.82;84.80;8.20;11.92;7.90
35376;13.73;1.47;9.30;90.18;6.56;11.28;6.10
35377;0.20;6.11;6.48;91.35;4.01;9.16;4.47
35378;1.00;2.31;6.11;93.03;5.02;9.49;2.03
35379;0.60;1.42;6.20;97.97;2.95;7.38;4.93
35380;3.58;1.64;8.16;95.74;2.95;9.42;6.54
35381;3.38;1.25;9.15;97.35;2.05;10.99;7.35
35382;1.79;2.25;6.99;96.77;3.15;9.58;4.41
35383;0.00;1.52;2.19;100.28;1.72;3.58;1.19
35384;0.00;2.35;2.33;99.47;1.90;3.77;0.67
35385;0.20;0.69;3.60;100.49;1.15;3.99;3.31
35386;0.20;0.55;4.19;102.08;1.41;4.73;3.81
35387;3.98;0.82;2.86;94.26;2.10;4.16;1.69
35388;17.11;3.52;1.66;99.93;3.75;3.53;0.00
35389;0.40;4.62;5.97;87.16;5.19;8.95;3.33
35390;1.59;2.18;3.94;94.06;7.38;5.26;2.64
35391;0.60;4.20;3.55;88.04;6.31;5.63;2.21
35392;0.20;3.38;2.31;80.10;4.46;3.84;1.17
35393;0.60;2.16;1.11;98.11;3.28;1.95;0.21
35394;1.99;0.78;1.35;93.18;4.70;2.33;0.27
35395;14.33;0.46;1.32;104.20;1.86;3.09;0.03
35396;0.20;0.43;-0.82;105.17;1.60;0.02;-2.19
35397;1.59;1.41;-0.72;102.36;2.31;0.74;-2.33
35398;7.56;1.28;0.80;97.95;4.94;2.17;-0.34
35399;3.38;1.23;2.78;99.28;5.13;3.72;1.49
35400;0.20;2.29;2.53;95.74;4.82;3.66;0.55
35401;7.76;2.15;5.27;96.05;6.03;6.31;3.43
35402;1.19;2.51;5.34;91.60;5.88;6.06;3.81
35403;0.40;1.88;7.37;89.51;4.90;8.98;5.80
35404;0.00;2.18;6.56;91.59;1.03;9.23;4.96
35405;0.00;1.07;3.99;102.84;1.25;5.72;2.02
35406;0.00;1.30;1.26;103.44;1.93;2.76;-0.65
35407;0.00;1.21;-0.10;100.14;3.33;0.63;-0.64
35408;0.00;0.40;-0.54;98.81;3.71;-0.16;-0.92
35409;0.00;0.59;-0.87;99.84;2.61;-0.38;-1.58
35410;0.00;0.41;-0.54;101.69;2.35;0.31;-1.19
35411;0.00;0.36;-0.06;99.28;2.45;0.52;-0.50
35412;0.20;0.81;0.33;103.57;1.62;1.09;-0.36
35413;0.00;3.17;-0.45;94.98;2.63;0.70;-1.72
35414;1.39;0.55;3.52;93.31;7.42;6.13;-0.10
35415;0.80;2.00;2.73;100.78;2.13;4.72;1.46
35416;0.00;0.47;2.73;99.70;2.64;3.29;2.13
35417;0.00;1.72;-0.42;93.09;4.00;2.88;-5.19
35418;0.00;3.39;-7.40;93.89;2.97;-5.55;-9.55
35419;0.00;3.25;-9.56;90.99;1.29;-6.07;-12.53
35420;0.00;2.65;-6.73;90.53;3.47;-3.91;-9.77
35421;0.00;3.15;-8.32;96.58;1.65;-4.03;-12.20
35422;0.00;1.67;-7.26;97.75;1.16;-3.41;-11.90
35423;0.00;3.73;-8.87;99.97;0.99;-6.23;-11.18
35424;0.00;1.97;-8.25;90.12;2.83;-6.48;-11.95
35425;0.00;3.49;-12.19;85.93;2.51;-8.91;-15.61
35426;0.00;1.36;-9.30;88.77;3.09;-5.51;-16.61
35427;0.00;1.88;-6.45;100.23;2.87;-4.08;-11.86
35428;0.00;1.72;-15.30;93.48;2.38;-12.37;-17.96
35429;0.00;2.01;-17.94;94.11;1.07;-15.88;-20.27
35430;0.00;2.37;-17.52;93.61;1.30;-14.55;-21.11
35431;0.00;1.50;-10.41;92.83;3.47;-6.05;-15.13
35432;0.00;1.44;-6.58;93.36;4.15;-5.19;-7.86
35433;0.00;2.66;-8.38;97.30;2.34;-5.63;-9.73
35434;0.00;2.35;-8.33;100.13;1.93;-5.58;-10.31
35435;0.00;2.59;-5.90;98.27;3.47;-5.01;-7.45
35436;0.00;2.73;-8.33;95.16;2.86;-7.23;-10.21
35437;0.00;1.10;-5.91;99.41;2.98;-3.92;-8.28
35438;0.00;1.74;-4.38;97.40;1.55;-3.62;-4.88
35439;0.00;2.35;-4.08;97.75;0.94;-2.92;-5.10
35440;0.00;3.54;-5.37;92.60;4.13;-0.84;-11.06
35441;1.39;3.32;1.13;92.86;4.15;2.56;-0.52
35442;0.00;4.11;0.66;81.89;2.94;3.77;-1.59
35443;0.00;4.17;-0.14;81.43;3.33;1.86;-3.87
35444;0.00;4.36;-2.49;86.29;2.37;2.97;-6.47
35445;0.00;4.48;0.95;75.15;3.54;5.67;-3.43
35446;0.00;1.36;2.47;93.09;3.71;3.28;1.56
35447;2.19;1.27;2.04;102.03;1.85;2.90;1.27
35448;1.79;0.38;1.40;105.36;1.80;2.36;0.68
35449;0.00;0.81;1.26;99.91;2.14;1.99;0.87
35450;0.00;2.73;2.91;92.43;4.37;5.15;-0.01
35451;0.00;4.31;5.14;97.42;4.22;8.56;3.17
35452;1.99;0.68;3.06;105.13;1.52;3.75;2.55
35453;1.59;0.47;1.74;105.61;1.78;2.65;0.27
35454;0.00;3.92;-0.56;93.23;3.24;0.92;-2.00
35455;0.00;3.02;-1.64;98.93;1.33;0.49;-4.14
35456;0.20;1.30;0.63;101.24;3.16;2.37;-1.13
35457;0.00;1.26;1.48;102.77;2.69;2.11;0.90
35458;0.60;1.16;2.01;99.16;2.55;3.07;0.96
35459;0.20;2.34;2.27;94.79;3.82;4.15;0.54
35460;0.00;5.99;-0.49;89.90;0.85;2.29;-2.68
35461;0.00;6.13;-0.65;80.67;1.89;3.29;-3.60
35462;0.20;1.12;0.40;98.67;2.35;1.10;-1.14
35463;0.20;1.81;2.70;87.95;6.19;4.74;0.78
35464;7.76;1.45;2.05;101.22;3.30;5.45;0.14
35465;0.20;5.42;3.09;94.58;4.81;6.18;0.48
35466;0.40;3.87;5.01;82.29;5.02;7.75;2.14
35467;0.00;6.48;4.49;90.60;2.88;7.59;1.70
35468;0.00;5.43;6.33;92.38;4.26;10.14;1.70
35469;1.59;3.70;8.81;83.13;5.60;10.41;6.66
35470;0.20;5.45;5.83;76.64;8.35;8.87;3.57
35471;11.74;0.83;7.51;95.16;5.12;11.25;3.34
35472;2.59;2.74;7.49;90.62;7.03;10.47;3.85
35473;0.00;4.51;3.94;86.37;6.64;5.32;1.09
35474;0.40;3.62;2.93;92.34;3.66;5.10;0.86
35475;1.00;4.08;2.05;97.19;2.49;3.46;0.30
35476;0.00;5.33;2.90;89.37;3.58;6.34;0.05
35477;8.16;2.23;6.58;90.64;6.41;9.79;3.81
35478;0.00;6.36;4.82;80.43;6.74;6.51;3.07
35479;2.19;8.18;6.91;76.12;9.13;9.12;4.18
35480;4.58;2.15;8.55;88.45;8.49;10.33;7.46
35481;0.00;4.43;8.55;92.93;4.70;10.54;6.03
35482;0.00;6.09;8.78;87.94;3.31;11.53;5.38
35483;2.99;3.21;10.31;86.08;6.86;12.93;7.18
35484;8.96;4.40;11.44;81.95;10.28;13.35;8.86
35485;21.49;5.14;7.45;90.11;7.22;9.71;5.35
35486;4.38;5.85;4.83;91.50;3.70;6.67;1.40
35487;0.00;9.87;8.38;73.77;5.70;13.10;4.11
35488;0.40;10.36;9.79;80.81;3.88;12.67;6.81
35489;1.19;9.44;12.31;79.46;6.42;17.18;7.42
35490;0.00;10.47;6.95;79.40;3.92;9.89;4.56
35491;0.00;11.58;6.81;82.58;1.60;12.31;1.67
35492;0.00;9.87;9.48;93.43;2.57;14.87;5.02
35493;0.00;2.93;7.74;94.48;2.52;10.80;2.60
35494;0.20;11.78;5.60;91.37;1.70;13.10;-1.21
35495;0.00;9.53;8.66;88.70;2.46;14.10;3.93
35496;0.00;6.64;9.51;90.97;1.83;12.46;7.47
35497;0.00;12.55;9.48;82.06;2.01;17.47;2.28
35498;0.00;2.45;4.81;99.62;2.38;7.58;3.27
35499;0.00;7.39;5.62;99.65;2.54;11.11;2.56
35500;0.00;3.40;8.91;93.46;3.95;12.05;6.62
35501;0.00;4.02;9.00;91.13;4.88;10.18;8.23
35502;0.80;3.26;9.56;95.65;5.16;11.08;8.71
35503;7.36;2.86;3.67;98.88;2.48;8.51;2.26
35504;8.76;1.83;2.41;100.60;1.54;3.17;1.53
35505;1.59;7.51;3.52;94.50;3.08;7.18;-0.57
35506;6.77;3.67;5.43;96.50;4.84;8.55;0.79
35507;0.00;9.43;1.19;83.88;2.63;3.51;-0.75
35508;10.15;4.86;3.33;97.06;3.62;5.61;0.98
35509;0.00;9.14;2.50;89.14;2.81;6.26;-0.39
35510;4.98;4.10;1.71;98.35;2.87;3.73;0.18
35511;0.20;4.72;3.14;97.87;2.86;5.08;1.42
35512;0.80;2.71;4.22;97.03;2.40;5.77;2.52
35513;0.60;11.19;8.04;86.00;4.72;12.38;3.02
35514;0.00;14.04;10.65;75.34;6.44;12.87;8.75
35515;11.94;10.16;7.27;87.15;10.35;12.13;3.41
35516;3.58;10.72;5.40;88.13;7.39;7.59;4.01
35517;0.20;8.56;6.99;90.57;3.66;10.80;3.98
35518;0.00;17.45;8.01;87.59;3.32;12.84;3.32
35519;0.00;11.15;7.22;82.66;2.41;11.25;2.75
35520;0.00;16.66;8.10;76.46;2.40;12.88;3.60
35521;0.00;21.42;9.37;78.65;2.65;15.27;2.28
35522;0.20;15.73;8.52;84.61;1.55;13.66;2.34
35523;1.79;6.50;7.08;91.89;4.62;12.87;3.55
35524;1.19;11.58;4.00;87.05;7.20;7.86;1.47
35525;8.96;2.14;4.57;98.78;6.10;10.00;0.49
35526;1.19;15.08;4.51;76.89;6.55;9.18;1.46
35527;0.00;20.54;3.03;73.94;1.45;8.10;-2.13
35528;0.00;19.47;5.68;62.84;1.64;12.34;-0.22
35529;0.00;17.61;8.57;68.11;1.84;15.63;1.97
35530;0.00;14.04;7.81;79.66;3.25;12.05;3.72
35531;2.99;9.34;6.85;79.81;7.71;9.79;3.50
35532;0.00;17.86;5.44;82.31;5.13;9.01;2.23
35533;0.20;14.56;4.71;77.67;2.71;9.26;-1.69
35534;2.39;3.90;7.36;94.49;5.61;9.19;4.71
35535;0.20;20.75;5.28;67.19;5.93;8.37;2.76
35536;0.00;20.15;4.94;67.78;3.08;9.88;-0.73
35537;0.00;16.68;6.31;71.36;2.12;12.82;0.64
35538;0.40;15.16;6.37;85.90;4.60;12.79;1.11
35539;0.60;19.10;5.07;81.06;2.53;8.40;1.66
35540;0.60;16.89;3.47;76.55;2.04;6.86;-0.93
35541;0.00;19.15;3.82;72.97;2.03;9.46;-2.17
35542;0.00;12.19;5.29;79.92;3.13;8.25;2.46
35543;0.00;21.25;4.96;74.30;1.91;10.83;-1.15
35544;0.00;18.98;8.73;65.86;4.98;14.64;1.62
35545;0.40;5.97;9.68;82.01;3.59;11.34;7.52
35546;0.20;9.46;9.48;85.87;3.19;12.95;6.46
35547;1.79;5.95;10.37;96.66;2.28;13.73;8.20
35548;3.98;7.96;12.08;95.61;4.63;14.95;9.89
35549;10.15;3.64;10.43;99.01;4.88;12.14;8.70
35550;0.60;9.93;10.20;90.98;4.80;13.26;7.42
35551;0.00;12.63;9.41;94.56;2.60;14.26;6.21
35552;0.00;22.24;13.46;85.07;2.68;20.41;7.05
35553;0.00;21.87;13.14;86.45;2.40;17.59;8.90
35554;0.60;16.09;14.47;88.32;2.94;19.74;9.49
35555;11.34;6.79;14.25;96.08;3.17;16.00;12.00
35556;6.57;7.54;11.17;93.95;4.96;16.10;3.91
35557;0.40;19.67;6.57;77.56;3.41;10.84;3.26
35558;0.00;13.22;7.89;81.65;2.64;12.79;4.35
35559;1.19;15.67;8.33;82.99;3.85;12.80;4.06
35560;0.60;17.62;10.71;84.04;3.89;15.44;6.08
35561;0.60;12.73;14.25;81.33;3.16;19.95;10.33
35562;0.00;17.88;14.31;80.18;2.28;17.69;11.20
35563;0.00;25.99;14.73;73.08;1.83;20.80;6.73
35564;0.80;18.80;16.57;87.44;2.22;22.93;9.91
35565;0.00;24.41;14.54;88.08;2.60;18.77;8.94
35566;0.00;17.81;17.57;91.15;3.18;24.45;13.10
35567;6.17;20.42;20.31;86.19;2.14;26.62;14.59
35568;26.47;20.34;18.77;93.72;1.84;25.03;14.45
35569;25.87;23.13;18.17;90.62;2.52;21.78;15.12
35570;1.99;13.19;16.43;94.83;2.05;19.43;13.44
35571;1.99;11.66;13.37;94.86;2.77;16.57;10.76
35572;4.78;4.09;10.62;101.72;2.01;11.84;9.35
35573;2.99;14.58;9.80;93.27;2.46;12.72;7.60
35574;0.20;21.76;9.46;82.04;1.86;13.52;5.38
35575;0.00;25.85;10.21;72.49;1.25;15.31;2.93
35576;0.20;18.00;9.91;87.41;2.04;14.06;4.51
35577;1.19;10.43;10.20;91.53;4.92;11.84;8.70
35578;0.20;16.54;11.16;84.52;3.26;15.88;7.07
35579;0.00;19.04;10.35;90.23;3.57;14.20;6.93
35580;0.00;28.28;12.17;71.65;3.05;16.77;7.80
35581;0.00;26.23;10.81;67.15;2.08;15.61;3.26
35582;0.00;21.23;12.20;75.90;3.11;17.73;6.19
35583;0.00;28.82;14.87;62.84;2.69;19.68;8.29
35584;0.00;26.68;14.38;70.97;1.39;20.48;7.32
35585;0.00;24.87;16.31;72.94;1.28;22.75;8.07
35586;0.00;27.91;18.21;68.99;2.41;23.60;9.41
35587;0.60;28.15;19.05;68.47;3.38;24.33;11.88
35588;0.00;27.53;19.78;66.42;2.99;25.53;12.19
35589;0.40;15.16;18.32;81.99;2.00;23.87;12.72
35590;2.19;26.98;17.68;83.39;2.58;21.53;13.85
35591;0.00;27.48;17.21;79.88;1.35;22.99;9.34
35592;0.00;26.31;20.26;67.60;2.84;26.39;13.08
35593;0.20;21.36;20.08;83.18;1.79;23.94;15.11
35594;8.36;20.16;18.71;87.51;1.72;23.29;14.26
35595;30.85;13.50;16.60;96.64;2.26;20.89;14.52
35596;0.60;14.57;14.38;92.69;3.36;16.46;11.68
35597;0.00;21.65;12.45;83.96;1.81;16.22;7.02
35598;0.00;27.33;12.19;82.12;2.03;17.82;5.62
35599;0.00;19.05;11.27;85.50;1.98;16.15;5.29
35600;0.00;27.58;13.67;76.50;1.75;18.99;6.25
35601;0.80;15.25;14.22;89.54;2.07;17.47;11.32
35602;1.59;11.47;15.49;89.76;3.57;18.51;12.95
35603;2.39;16.60;14.78;87.44;2.82;18.18;12.20
35604;5.97;14.55;13.09;96.15;3.70;16.23;10.95
35605;2.99;12.69;12.86;92.14;4.19;15.58;10.79
35606;0.00;21.76;12.83;79.92;1.85;17.53;9.58
35607;2.39;10.58;14.02;91.67;2.20;16.69;10.81
35608;9.55;13.76;16.01;93.18;2.16;21.43;13.00
35609;0.20;25.83;17.22;84.50;2.12;23.76;9.88
35610;18.91;22.52;19.59;90.29;2.28;28.09;10.67
35611;2.59;12.68;16.83;92.82;3.15;19.40;14.35
35612;5.77;12.78;15.30;93.30;1.76;19.31;12.09
35613;2.99;23.56;17.37;85.12;1.90;23.92;11.37
35614;2.79;14.90;17.80;91.97;1.18;21.19;15.09
35615;3.38;18.73;17.25;86.63;1.60;21.22;13.28
35616;0.00;20.40;16.42;84.15;1.94;21.28;11.26
35617;0.20;13.73;14.40;88.78;2.76;18.58;10.66
35618;0.00;19.27;17.01;90.08;3.33;21.30;12.93
35619;0.00;20.97;17.43;88.00;3.67;21.31;14.65
35620;0.00;20.23;16.45;88.22;2.55;20.24;13.21
35621;0.00;26.67;18.20;79.50;1.62;23.62;11.10
35622;0.00;27.60;19.43;73.22;1.15;25.53;10.29
35623;0.00;25.71;18.93;79.22;1.09;25.61;11.08
35624;0.00;19.77;19.95;74.39;1.30;26.37;11.67
35625;3.78;14.61;17.76;89.51;1.67;23.35;13.67
35626;0.00;20.98;18.45;88.67;2.31;23.16;14.46
35627;4.78;7.91;16.24;99.58;1.28;19.67;13.19
35628;0.00;9.90;16.82;96.34;1.15;20.17;13.95
35629;14.53;9.44;16.41;99.88;2.11;20.43;14.58
35630;4.78;11.25;16.19;97.47;2.93;19.77;13.92
35631;6.17;10.62;15.70;97.44;2.70;20.24;11.73
35632;25.67;6.56;16.61;101.90;2.69;21.20;14.50
35633;0.00;19.65;19.09;92.07;1.00;25.70;13.33
35634;13.54;13.63;18.70;94.99;1.29;23.16;15.59
35635;0.00;19.01;18.78;85.01;1.28;23.88;13.77
35636;9.75;6.91;17.05;98.52;1.94;18.51;15.77
35637;13.13;6.45;16.37;98.63;2.89;20.46;14.70
35638;0.00;15.07;18.70;84.65;3.95;22.72;15.22
35639;0.80;19.65;17.25;83.50;2.66;22.87;11.95
35640;0.20;17.03;17.58;86.99;2.01;22.27;12.58
35641;0.00;20.50;19.29;79.78;1.87;26.22;10.97
35642;6.17;11.09;16.27;94.78;2.72;20.13;12.59
35643;4.58;10.18;15.17;95.19;2.28;19.77;11.02
35644;1.00;11.65;17.71;93.39;1.56;21.99;14.27
35645;1.79;14.01;19.63;88.29;1.15;24.82;14.44
35646;0.40;15.00;19.76;90.04;1.81;24.63;16.21
35647;0.00;22.53;19.85;76.29;1.84;26.15;13.10
35648;0.00;20.82;20.18;77.85;1.94;25.93;12.28
35649;0.00;20.67;20.69;77.49;2.08;26.61;14.52
35650;0.00;20.03;20.89;78.83;1.81;27.11;12.71
35651;0.00;19.88;21.75;76.29;1.16;28.90;13.28
35652;0.00;21.52;22.64;69.80;2.25;29.48;15.10
35653;0.00;21.71;22.72;63.38;2.77;29.94;12.88
35654;0.00;21.27;22.41;65.62;1.96;30.05;13.66
35655;0.00;21.30;22.90;67.98;1.31;31.47;13.86
35656;0.00;19.84;22.52;72.29;3.30;28.21;17.35
35657;11.14;9.15;19.86;91.17;2.72;24.10;17.01
35658;0.20;15.31;18.76;90.24;0.97;24.73;13.30
35659;0.00;18.60;21.07;78.28;1.46;27.97;14.49
35660;0.00;21.19;20.39;67.78;1.80;26.42;13.05
35661;5.97;6.50;17.66;95.70;1.36;21.06;15.68
35662;0.20;14.83;20.82;82.46;1.95;27.25;14.34
35663;0.00;17.63;21.53;76.74;1.31;29.88;13.92
35664;0.00;8.12;20.68;86.75;2.03;25.41;15.97
35665;0.20;7.56;21.20;93.78;1.67;24.57;18.68
35666;0.00;17.35;24.77;79.45;1.94;31.09;19.05
35667;0.00;17.53;24.96;73.93;2.07;31.97;17.88
35668;12.94;5.77;20.35;95.82;1.80;23.27;18.07
35669;0.00;12.90;21.79;88.86;1.70;26.58;18.80
35670;5.37;6.46;19.44;92.53;2.58;26.02;15.28
35671;3.58;10.22;16.49;86.40;3.40;19.45;14.37
35672;0.20;18.26;16.98;78.06;2.29;22.83;11.66
35673;0.00;14.61;19.72;79.38;2.21;24.19;16.78
35674;0.60;18.69;22.03;77.76;2.12;29.06;14.56
35675;0.40;3.60;17.39;98.90;2.27;18.72;16.06
35676;0.00;10.70;17.50;90.80;1.15;21.30;13.07
35677;0.00;9.57;18.97;87.87;1.41;23.15;14.45
35678;1.59;9.35;18.71;88.68;1.59;23.45;13.71
35679;5.97;11.53;16.29;88.86;3.12;19.52;12.87
35680;0.80;5.36;14.33;92.63;4.33;17.03;12.00
35681;0.00;10.59;16.43;86.59;5.73;19.79;12.98
35682;0.40;11.12;14.87;80.80;6.57;18.89;10.44
35683;0.00;9.27;12.71;77.44;5.37;16.43;9.60
35684;0.00;12.34;14.26;78.79;2.46;18.92;8.78
35685;0.00;6.84;16.79;77.50;3.91;20.22;13.57
35686;1.39;10.02;13.60;80.85;5.01;16.47;7.85
35687;0.00;12.82;12.08;75.34;5.03;16.44;8.08
35688;0.00;13.32;12.87;76.59;3.22;19.18;6.88
35689;0.00;15.79;16.24;61.53;2.71;24.05;10.10
35690;0.00;11.28;16.45;69.98;3.33;21.63;11.46
35691;0.00;11.79;15.14;89.00;1.22;21.28;10.61
35692;0.00;11.33;12.68;76.95;2.31;16.11;5.73
35693;0.00;10.37;8.81;83.96;1.29;14.56;2.27
35694;0.00;14.53;8.28;84.82;0.93;15.49;1.49
35695;0.00;14.17;10.06;81.21;0.97;19.23;2.07
35696;0.00;11.29;10.85;87.66;2.31;17.24;3.77
35697;0.00;9.85;13.34;87.69;1.44;17.97;7.75
35698;0.00;13.43;12.25;82.41;0.97;20.83;4.96
35699;0.00;13.00;12.52;87.04;1.58;20.28;6.26
35700;0.00;5.52;11.28;91.79;1.20;14.37;4.90
35701;0.00;11.64;9.53;89.72;1.26;18.52;2.52
35702;0.00;9.76;12.86;86.18;2.39;20.70;5.82
35703;2.59;6.00;13.97;94.35;2.47;17.22;11.79
35704;0.20;4.58;13.61;96.55;3.31;17.08;10.36
35705;1.00;7.76;12.09;82.85;7.44;14.94;8.69
35706;0.00;6.72;10.82;81.09;4.14;14.14;7.28
35707;0.00;5.10;13.92;84.10;5.90;16.04;11.27
35708;0.00;3.27;14.26;89.92;4.71;15.95;13.30
35709;0.00;10.76;14.68;88.11;1.76;20.17;9.14
35710;3.18;7.46;17.80;82.83;4.33;21.72;13.79
35711;1.00;5.58;15.15;87.18;4.81;17.70;12.37
35712;1.39;4.45;17.89;87.76;7.67;19.86;16.60
35713;15.72;5.92;14.36;88.67;6.90;16.42;10.14
35714;2.99;5.08;10.89;91.66;6.17;12.92;9.20
35715;1.00;6.02;8.59;96.09;3.30;12.35;4.52
35716;4.98;4.30;7.83;95.26;4.78;10.11;6.04
35717;0.20;9.06;7.49;94.54;3.43;11.18;4.84
35718;5.57;2.85;7.06;99.85;2.41;9.24;4.93
35719;0.20;7.85;3.56;95.31;0.88;8.80;-1.16
35720;0.00;2.82;7.90;94.62;2.49;11.95;2.81
35721;0.00;8.79;12.48;85.29;3.68;17.64;8.81
35722;0.00;8.59;13.08;92.35;2.44;19.00;10.04
35723;0.20;3.87;8.49;90.76;2.06;10.57;3.96
35724;0.20;8.30;2.60;87.02;1.31;7.81;-1.22
35725;0.00;6.80;2.61;87.66;1.95;8.66;-1.64
35726;0.20;2.97;6.32;91.59;3.48;9.30;2.81
35727;0.20;4.89;5.22;88.70;3.62;7.14;1.88
35728;1.39;2.16;5.81;92.39;5.07;8.58;2.42
35729;0.20;2.12;4.28;95.91;2.07;6.85;1.66
35730;0.00;5.24;0.27;85.81;1.15;5.18;-3.62
35731;0.00;5.12;-1.29;89.33;1.00;4.78;-5.53
35732;0.00;3.12;0.34;83.58;1.72;6.20;-3.87
35733;0.00;4.81;2.19;85.08;1.44;9.10;-2.92
35734;0.00;1.52;1.45;103.11;2.61;3.60;-1.55
35735;0.00;0.77;2.68;96.29;1.71;3.07;1.68
35736;0.00;1.00;3.29;100.38;2.95;5.82;0.09
35737;0.00;2.14;4.58;87.35;2.67;7.26;-0.08
35738;0.00;3.78;0.88;79.06;4.40;4.49;-1.65
35739;1.59;1.19;5.98;95.60;3.71;9.18;-0.17
35740;3.78;1.37;9.46;96.11;2.26;11.57;8.08
35741;5.17;2.96;11.70;87.59;4.81;14.08;9.19
35742;0.00;3.06;9.56;87.70;3.24;13.61;7.12
35743;1.79;3.33;9.13;92.27;4.67;11.35;7.48
35744;1.59;4.10;9.14;88.17;4.44;11.13;7.85
35745;0.00;3.98;8.88;86.55;3.33;10.70;7.24
35746;2.39;1.22;6.22;97.61;1.56;7.93;5.38
35747;13.13;3.65;5.83;100.84;3.31;8.45;2.22
35748;0.20;3.87;2.38;102.85;2.43;5.18;-0.15
35749;7.16;0.33;6.16;101.55;2.89;7.76;3.14
35750;0.60;1.28;5.72;101.72;2.72;7.94;1.89
35751;0.20;3.61;3.33;97.92;2.45;5.97;0.17
35752;0.00;1.32;3.77;90.66;4.35;5.44;0.01
35753;0.00;4.19;-0.78;88.15;5.20;1.09;-2.33
35754;0.00;3.79;-0.70;90.18;3.33;1.55;-3.06
35755;0.00;2.68;1.35;96.82;2.47;3.35;-0.16
35756;0.00;0.83;1.22;101.63;2.51;1.97;0.76
35757;0.20;0.49;1.30;105.54;1.93;1.76;0.83
35758;0.00;0.63;2.04;101.83;2.61;2.94;1.24
35759;0.00;1.14;1.67;98.70;3.79;2.72;0.64
35760;0.00;0.77;2.31;100.33;4.16;2.90;1.98
35761;0.00;1.54;1.39;99.78;4.44;2.28;0.83
35762;1.39;1.10;2.24;101.67;3.20;4.77;-0.34
35763;2.19;1.17;7.17;100.80;2.59;8.47;4.43
35764;0.00;2.35;7.79;97.52;2.55;9.81;6.12
35765;3.78;2.96;2.67;99.35;2.53;7.07;-1.55
35766;0.00;1.07;-2.04;104.64;1.97;-0.50;-4.53
35767;0.00;1.02;-0.30;101.23;3.00;0.16;-0.67
35768;3.38;0.67;-0.07;101.32;2.19;0.97;-2.96
35769;0.20;1.45;-0.88;97.38;3.92;1.43;-5.04
35770;3.58;1.60;1.82;94.72;6.21;3.84;0.24
35771;1.99;1.22;4.40;97.45;4.51;5.73;2.16
35772;0.00;1.46;4.21;91.40;4.91;5.61;2.73
35773;0.00;1.63;6.38;95.08;4.18;8.06;5.18
35774;5.37;0.64;9.54;95.63;7.30;12.18;7.21
35775;3.58;0.51;10.70;93.70;5.24;12.13;9.49
35776;1.19;0.57;7.89;99.85;4.19;9.82;5.94
